200,4049,1
200,6582,2
200,3503,3
200,1188,4
200,352,5
200,3637,6
200,3443,7
200,3463,8
200,5099,9
200,3960,10
200,2293,11
200,22,12
200,565,13
200,753,14
200,448,15
200,60,16
200,2666,17
200,726,18
200,3897,19
200,3483,20
200,896,21
200,5250,22
200,3646,23
200,3915,24
200,618,25
200,5830,26
200,55,27
200,2060,28
200,847,29
200,719,30
201,6964,1
201,7305,2
201,6410,3
201,7297,4
201,5616,5
201,6703,6
201,5198,7
201,6080,8
201,4516,9
201,6853,10
201,6763,11
201,5857,12
201,5381,13
201,6204,14
201,6574,15
201,5444,16
201,7267,17
201,4582,18
201,5974,19
201,6280,20
201,5828,21
201,7269,22
201,5741,23
201,7189,24
201,6307,25
201,5602,26
201,4814,27
201,6626,28
201,5832,29
201,7264,30
202,1335,1
202,1122,2
202,1350,3
202,970,4
202,3146,5
202,1177,6
202,1310,7
202,3634,8
202,1162,9
202,1209,10
202,1352,11
202,1353,12
202,4431,13
202,1028,14
202,6700,15
202,5692,16
202,1323,17
202,984,18
202,1291,19
202,2381,20
202,6361,21
202,3130,22
202,1125,23
202,1215,24
202,1365,25
202,1084,26
202,6298,27
202,1163,28
202,4428,29
202,3567,30
203,1686,1
203,1800,2
203,1706,3
203,1571,4
203,1699,5
203,1498,6
203,1877,7
203,1601,8
203,1762,9
203,1461,10
